category,text
permissions,Any unauthorised use terminates the permission or license granted by Amazon Seller Services Private Limited and / or its affiliates as applicable
copyright,Back to top Intellectual Property Claims Amazon Seller Services Private Limited and its affiliates respect the intellectual property of others.
privacy,We may communicate with you by e-mail SMS phone call or by posting notices on the website or by any other mode of communication.
age,Under the age of 18 years you may use Amazon.in only with the involvement of a parent or guardian.
thirdparty,You can tell when a third-party is involved in your transactions and we may share customer information related to those transactions with that third-party.
payments,Buyer shall be required to provide credit or debit card details to the approved payment gateways while making the payment on the Platform.
jurisdiction,Back to top Governing law and Jurisdiction These conditions are governed by and construed in accordance with the laws of India.
disclaimer,We do not implicitly or explicitly support or endorse the sale or purchase of any products on the website.
permissions,You may not assign these Terms in whole or in part nor transfer or sub-license your rights under these Terms to any third party.
copyright,Amazon.in's graphics logos page headers button icons scripts and service names are the trademarks or trade dress of Amazon.
privacy,You can access and update much of the information you provided us within the Your Account area of the website.
age,In order to access the Spotify Service you need to be 13 years of age (or the equivalent minimum age in your home country) or older.
thirdparty,You are advised to check the Offer(s) being offered by the Zomato Gold Partner Restaurant at the time of placing your order.
payments,Please refer to the Cancellation and Refund Policy for cancellation and refunds terms in relation to usage of the Platform for availing Services.
jurisdiction,You agree as we do to submit to the exclusive jurisdiction of the courts at Delhi.
disclaimer,In such a scenario you are free to discontinue or opt not to view/stream/consume such content.
permissions,You are not permitted to avail the Offer(s) on more than two (2) devices at a time.
copyright,No license right or interest in any trademarks of Swiggy or any third party is granted under this T&C.
privacy,If you object to your information being transferred or used please do not use the website.
age,Contact Us: You may contact us at gold@zomato.com for any further queries with regard to Zomato Gold.
thirdparty,Offer(s) can be redeemed at Zomato Gold Partner Restaurants only and the list of such Zomato Gold Partner Restaurants may be updated periodically.
payments,Payment may be made through the Platform and the User would be required to confirm with the restaurant that the payment has been cleared.
jurisdiction,All disputes related to the DineOut Services or Swiggy DineOut Services will be subject to the exclusive jurisdiction of courts of Bangalore only.
disclaimer,Furthermore Spotify undertakes no liability in relation to a violation of these Terms by you.
permissions,After any suspension or termination you may or may not be granted permission to use the DineOut Services or re-establish an Account.
copyright,The features information and materials provided and depicted through the DineOut Services are protected by copyright trademark patent and other intellectual property laws.
privacy,Please review our Privacy Notice which also governs your visit to Amazon.in to understand our practices.
age,Have parent or guardian consent if you are a minor in your home country.
thirdparty,Apple has no obligation whatsoever to furnish any maintenance and support services with respect to the Spotify Service.
payments,Price changes will take effect at the start of the next subscription period following the date of the price change.
jurisdiction,THERE IS NO JUDGE OR JURY IN ARBITRATION AND COURT REVIEW OF AN ARBITRATION AWARD IS LIMITED.
disclaimer,No advice or information whether oral or in writing obtained by you from Spotify shall create any warranty on behalf of Spotify.
permissions,You agree to comply with any applicable third-party terms when accessing the Spotify Service.
copyright,You retain ownership of your User Content when you post it to the Service.
privacy,You will use the website to order products only for your personal use and not for business purposes.
age,If you are a minor in your home country your parent or guardian will need to enter into these Terms on your behalf.
thirdparty,We are not responsible for the products and services provided by such third parties.
payments,Subject to applicable law by continuing to access the Spotify Service after the price change takes effect you will have accepted the new price.
jurisdiction,The Spotify Service is provided by Spotify AB Regeringsgatan 19 111 53 Stockholm Sweden.
disclaimer,Spotify may take these actions without prior notification to you.
permissions,Offer(s) cannot be clubbed with any ongoing Zomato Gold Partner Restaurant Offer(s) or on menu items which are being sold on discount.
copyright,Except for the Access Spotify grants no right title or interest to you in the Content.
privacy,The personal information / data provided to us by you during the course of usage of Amazon.in will be treated as strictly confidential and in accordance with the Privacy Notice and applicable laws and regulations.and regulations 
age,If you are a minor in your home country your parent or guardian will need to enter into these Terms on your behalf.
thirdparty,These Terms are between you and Spotify only not with Apple and Apple is not responsible for the Spotify Service and the content thereof.
payments,Upon making a payment for the Bill Amount using Zomato Pay via Zomato Platform the Customer will be entitled to Zomato Pay Benefits (as defined below) subject to successful payment being made by the Customer.
jurisdiction,These conditions are governed by and construed in accordance with the laws of India.
disclaimer,Neither Spotify nor any owner of content warrants that the Spotify Service or content is free of malware or other harmful components.
permissions,Your username and password are for your personal access only and should be kept confidential.
copyright,Spotify reserves the right to remove or disable access to any User Content for any or no reason.
privacy,Further all contractual information required to be disclosed by law is incorporated as part of the Amazon Services Business Solutions Agreement (BSA) executed by each seller on Amazon.in prior to listing its products.
age,Have the power to enter a binding contract with us and not be barred from doing so under any applicable laws.
thirdparty,In such cases such revision will be updated on the Zomato Platform accordingly.
payments,The Customers can make a payment for the Bill Amount using Zomato Pay by either scanning the Zomato QR code at the restaurant partnered with Zomato for Zomato Pay or by searching for the restaurant partnered with Zomato for Zomato Pay on the Zomato Platform and selecting Zomato Pay as the payment method.
jurisdiction,THERE IS NO JUDGE OR JURY IN ARBITRATION AND COURT REVIEW OF AN ARBITRATION AWARD IS LIMITED.
disclaimer,Zomato Gold members are required to be present at the Zomato Gold Partner Restaurant when availing the Offer(s).
permissions,There is no limit on the number of times the Offer(s) can be availed in a day.
copyright,All content included on the website such as text graphics logos button icons images audio clips digital downloads data compilations and software is the property of Amazon Seller Services Private Limited its affiliates or its content suppliers and is protected by India and international copyright authors rights and database right laws
privacy,If you believe that any content on the website is illegal offensive deceptive misleading abusive or otherwise injurious to third parties or relates to or promotes money laundering or gambling please notify us immediately by following our Notice and Procedure for Making Claims of Right Infringements.
age,If you are a minor in your home country your parent or guardian will need to enter into these Terms on your behalf.
thirdparty,Offer(s) may be changed or added from time to time.
payments,The Customer’s Edition Wallet shall have a limit on addition and a balance limit as communicated to the Customer from time to time.
jurisdiction,If you breach these conditions and we take no action we will still be entitled to use our rights and remedies in any other situation where you breach these conditions.
